Individual Establishment Salmonella Categories for Each Product,,,,,,
"for Sample Collection Period December 01, 2024 through November 29, 2025",,,,,,
,,,,,,
Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
M20815+P20815,"Buckhead Meat & Seafood Mid-Atlantic, Inc.",Landover,MD,80,Chicken Parts,3
M20862+P20862,"Olympic Gold Meats, Inc.",Long Beach,CA,05,Chicken Parts,NA
M20887+P20887,Crescent Foods,Chicago,IL,50,Chicken Parts,2
M20889+P20889,"Crown I Foods, Inc.",Bay Shore,NY,60,Chicken Parts,1
M2095+P2095,"Nealey's Foods, Inc.",Chicago,IL,50,Chicken Parts,1
M20AE+P20AE+V20AE,"Lopez Foods, Inc.",Oklahoma City,OK,40,Chicken Parts,1
M2106+P2106,Buckhead Meat Midwest Inc.,Northwood,OH,50,Chicken Parts,NA
M21103+P21103,US Foods Inc.,Birmingham,AL,90,Chicken Parts,1
M21180+P21180,Roots Meat Market LLC,Fremont,OH,50,Chicken Parts,NA
M21200+P21200,"VF America, LLC",Statham,GA,85,Chicken Parts,3
M21254+P21254,"William & Co., Inc.",Boston,MA,60,Chicken Parts,1
M21275+P21275,D&D Foods Inc.,Omaha,NE,15,Chicken Parts,1
M21342+P21342,"WanRong Trading Corp., DBA Taihe Trading Corp.",Long Island City,NY,60,Chicken Parts,1
M21430+P21430,Bert Posess Inc,Paterson,NJ,80,Chicken Parts,1
M21494+P21494,CCP Poultry & Meat Corp.,Vernon,CA,05,Chicken Parts,1
M21498+P21498,Ozark Mountain Poultry Inc.,Rogers,AR,35,Chicken Parts,1
M2161+P3,"Mountaire Farms, Inc.",Millsboro,DE,80,Chicken Parts,1
M21695+P21695,R. Whittingham & Sons,Alsip,IL,50,Chicken Parts,NA
M21712+P21712,Glatt Boy's Inc.,Bronx,NY,60,Chicken Parts,NA
M21838+P21838,Bachoco OK Foods,Albertville,AL,90,Chicken Parts,3
M21863A+P21863A,Rio Grande Pak Foods,McAllen,TX,40,Chicken Parts,1
M21874+P21874,"Rosemead Processing Meats, Inc.",South El Monte,CA,05,Chicken Parts,1
M21882+P21882+V21882,"S&S Gilardi, Inc.",Mount Vernon,OH,50,Chicken Parts,NA
M2194+P2194,Pat's Pastured,East Greenwich Road,RI,60,Chicken Parts,NA
M2199+P2199,"Omni Custom Meats, Inc.",Bowling Green,KY,90,Chicken Parts,NA
M2201+P2201,Webers Quality Meats,San Leandro,CA,05,Chicken Parts,NA
M22042+P22042,"Illini Institutional Foods, Inc.",Rantoul,IL,50,Chicken Parts,NA
M22104+P22104+V22104,Nital Trading Co Inc,Hialeah,FL,85,Chicken Parts,NA
M2213A+P2213A,Buckhead Meat of San Antonio,San Antonio,TX,40,Chicken Parts,2
M2260T+P2260T,"Gold Creek Foods, LLC",Caryville,TN,90,Chicken Parts,NA
M2298+P2298,"Deen Meat and Cooked Foods, Inc.",Fort Worth,TX,40,Chicken Parts,NA
M2327+P2327,"Iowa Pacific Processors, Inc.",Des Moines,IA,25,Chicken Parts,1
M2338+P2338,Keith Valley Packing Company,Dallas,TX,40,Chicken Parts,1
M2365+P2365,"Performance Food Group, Inc.",Berkley,MO,35,Chicken Parts,NA
M2404+P2404,R and D Meats,Jennings,OK,40,Chicken Parts,NA
M244S+P244S,"Tyson Fresh Meats, Inc.",Sherman,TX,40,Chicken Parts,NA
M245D+P245D+V245D,"Tyson Foods, Inc.",Emporia,KS,35,Chicken Parts,NA
M2462+P2462+G2462,"Ethnic Food Concepts, LLC",Olathe,KS,35,Chicken Parts,NA
M248B+P215,Butterfield Foods Company,Butterfield,MN,25,Chicken Parts,NA
M2510+P2510+V2510,Best Choice Meats,Alsip,IL,50,Chicken Parts,NA
M2514+P18395,Four Star Foods,Chicago,IL,50,Chicken Parts,1
M2540+P2540,"KBDetroit, LLC",Detroit,MI,50,Chicken Parts,1
M2597+P2597,Arch Food Service Inc.,Wheeling,IL,50,Chicken Parts,NA
M2629+P2629+V2629,Hobson Food Service,Nashville,TN,90,Chicken Parts,1
M2635+P2635,Unidos Meat Processors LLC,Hidalgo,TX,40,Chicken Parts,NA
M2664+P2664,Northwest Arkansas Food Bank,Lowell,AR,35,Chicken Parts,1
M2676+P2676,"Southeast Poultry, Inc.",Rogers,AR,35,Chicken Parts,3
M2696+P2696,Cuatro Cinco Manufacturing,Houston,TX,40,Chicken Parts,1
M272+P272,"T. F. Kinnealey Co., Inc.",Brockton,MA,60,Chicken Parts,1
M27216+P27216,Great American Trucking- Select Foods,Delray Beach,FL,85,Chicken Parts,1
M27297+P27297,Campo Lindo Farms,Lathrop,MO,35,Chicken Parts,NA
M27361+P27361,Reliable Brothers,Green Island,NY,60,Chicken Parts,NA
M27389+P27389+V27389,Pitman Farms,Sanger,CA,05,Chicken Parts,2
M27505+P27505,"Gold Creek Processing, LLC",Dawsonville,GA,85,Chicken Parts,1
M2752+P2752,Hunts Point Packing Corp,Bronx,NY,60,Chicken Parts,NA
M2794+P2794,Chop Chop Inc,Federal Way,WA,15,Chicken Parts,NA
M2802+P2802,Magong Food LLC,Monterey Park,CA,05,Chicken Parts,1
M2840A+P2840A,Golden Gate Wine Country Meats,Santa Rosa,CA,05,Chicken Parts,NA
M2874+P2874,"Allen Brothers, LLC",Richmond,CA,05,Chicken Parts,1
M2896+P2896,Daniel Western Meat Packers Inc.,Pico Rivera,CA,05,Chicken Parts,NA
M2902+P2902,Cougle Commission Company,Chicago,IL,50,Chicken Parts,1
M2932+P2932,Gotham Gourmet Provisions LLC,East Hanover,NJ,80,Chicken Parts,NA
M2972+P2972,Northeast Regional Corrections Center,Saginaw,MN,25,Chicken Parts,NA
M3026+P3026,D & S Meats Inc.,Mokena,IL,50,Chicken Parts,1
M30775+P30775,Rose Meat Services,Vernon,CA,05,Chicken Parts,1
M30778+P30778,"Rosemead processing Meats, Inc.",Los Angeles,CA,05,Chicken Parts,NA
M31639+P31639,Mountain Meadow Productions,Los Angeles,CA,05,Chicken Parts,1
M3165+P3165,Red Rock Foods,Braselton,GA,85,Chicken Parts,NA
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,60,Chicken Parts,1
M31877+P31877,Twin Rivers Foods,Atkins,AR,35,Chicken Parts,2
M31884+P31884+V31884,"Pritzlaff Wholesale Meats, LLC",New Berlin,WI,25,Chicken Parts,1
M31907+P31907,"Diverse Food Products, LLC",Baldwinsville,NY,60,Chicken Parts,NA
M31915+P31915,"MERRILL DISTRIBUTING, INC.",Wausaukee,WI,25,Chicken Parts,NA
M31932+P31932,Certified Meat Products,Fresno,CA,05,Chicken Parts,1
M31979+P31979,Gold Creek Processing LLC,Gainesville,GA,85,Chicken Parts,1
M31980+P31980,"M & C Unico, Inc.",Los Angeles,CA,05,Chicken Parts,NA
M32031+P32031,K-D Market Inc.,New York,NY,60,Chicken Parts,NA
M32170+P32170,Ganaderos Borges,Naguabo,PR,85,Chicken Parts,NA
M322A+P322,Pilgrim's Pride Corporation,Cold Spring,MN,25,Chicken Parts,1
M33861+P33861,Standard Meat Company,Saginaw,TX,40,Chicken Parts,2
M33885+P31851,Chee Foo International Inc,Phoenix,AZ,05,Chicken Parts,1
M33901+P33901,"Case Farms, Processing",Farmerville,LA,40,Chicken Parts,2
M33973+P33973+V33973,Cream Co. LLC,Oakland,CA,05,Chicken Parts,NA
M33982+P33982,JBB Trading LLC,Houston,TX,40,Chicken Parts,2
M34009+P34009,Washington Lamb Inc,Lorton,VA,80,Chicken Parts,1
M34078+P34078,"Great Lakes Poultry, Inc.",La Porte,IN,50,Chicken Parts,3
M34095+P34095+V34095,"A1 Meat Solutions, Inc.",El Monte,CA,05,Chicken Parts,2
M34145+P34145,"Kadejan, Inc.",Glenwood,MN,25,Chicken Parts,1
M34152+P34152,Anmar Foods,Chicago,IL,50,Chicken Parts,1
M34167+P34167,Dakota Packing,Las Vegas,NV,05,Chicken Parts,1
M34174+P34174,Pacific Coast Meat Inc.,San Francisco,CA,05,Chicken Parts,NA
M34176+P34176,Swift Beef Company,Lenoir,NC,80,Chicken Parts,1
M34195+P34195,"Gourmet Specialty Foods, LLC",North Andover,MA,60,Chicken Parts,1
M34227+P34227,S.D.J TRADING,Irvington,NJ,80,Chicken Parts,1
M34371+P34371,Union Foods LLC,Rocky Mount,NC,80,Chicken Parts,3
M34376+P34376,"Spectrum Foods, Inc.",Landover,MD,80,Chicken Parts,NA
M34467+P34467+V34467,Shamrock Food Company,Commerce City,CO,15,Chicken Parts,1
M34715+P34715,"Patterson TMP Operating, LLC",Fort Worth,TX,40,Chicken Parts,3
M3603+P3603,"Amazing Taste Foods, Inc.",North Little Rock,AR,35,Chicken Parts,NA
M38463+P38463,La Indi Poultry,City of Industry,CA,05,Chicken Parts,2
M38494+P32145+V32145,"Emmaus Foods, LLC",Albertville,AL,90,Chicken Parts,1
M38511+P38511+V38511,"New S.B.L., Inc.",Chicago,IL,50,Chicken Parts,1
M38514+P38514,C & S Poultry,Monterey Park,CA,05,Chicken Parts,1
M38522+P38522,Metropolitan Foods,Wayne,NJ,80,Chicken Parts,1
M39891+P39891,Biloxi Beach Group LLC #1,Morton,MS,90,Chicken Parts,2
M39896+P39896,The Fillo Factory,Northvale,NJ,80,Chicken Parts,NA
M39941+P39941,"Casanova Market, Inc.",Hauppauge,NY,60,Chicken Parts,1
M4005+P4005+V4005,Williamsburg Packing Company Inc.,Kingstree,SC,85,Chicken Parts,NA
M40059+P40059,"Legendary Meats, LLC",Marietta,GA,85,Chicken Parts,1
M40145+P40145,D & N Provisions,Boston,MA,60,Chicken Parts,NA
M40181+P40181,A&J Meats,City of Industry,CA,05,Chicken Parts,1
M40311+P40311,Mecca Halal Poultry,Astoria,NY,60,Chicken Parts,1
M4033+P4033,Bianco Inc.,Medford,MA,60,Chicken Parts,NA
M40363+P40363,Pascucci Family Pasta,San Diego,CA,05,Chicken Parts,NA
M40367+P40367,"Shuler Meats, Inc.",Thomasville,NC,80,Chicken Parts,1
M40440A+P40440A,RYC Foods,San Antonio,TX,40,Chicken Parts,NA
M4075+P4075,Arnold's & Eddies Foods Inc.,Chicopee,MA,60,Chicken Parts,NA
M4104+P4104,Palisades Ranch,Vernon,CA,05,Chicken Parts,1
M4121A+P4121A+V4121A,"Custom Made Meals, LLC",Denver,CO,15,Chicken Parts,1
M4150+P4150,Tommy's Quality Meats,San Diego,CA,05,Chicken Parts,1
M4159+P4159,"HV Randall Foods, Inc.",Vernon,CA,05,Chicken Parts,1
M4159A+P4159A,"HV Randall Foods, LLC",Vernon,CA,05,Chicken Parts,NA
M4177+P4177+I4177,"Leyen Food, LLC",La Puente,CA,05,Chicken Parts,2
M4181+P4181,"Mao Foods, Inc.",Los Angeles,CA,05,Chicken Parts,1
M4187+P4187+V4187,"Wayne Provisions Company, Inc.",Vernon,CA,05,Chicken Parts,1
M426+P17065,King Meat Service Inc.,Vernon,CA,05,Chicken Parts,1
M42886+P42886,EDCA Foods,Modesto,CA,05,Chicken Parts,NA
M4322+P4322,"Japan Premium Beef, Inc.",Bronx,NY,60,Chicken Parts,NA
M4398+P4398,"DiLuigi Foods, Inc",Danvers,MA,60,Chicken Parts,2
M44121+P44121,Pelleh Poultry Corp.,Swan Lake,NY,60,Chicken Parts,2
M44127+P44127,Adesa International LLC,Ontario,CA,05,Chicken Parts,3
M443+P443+V443,"Glenn Valley Foods, LLC.",Omaha,NE,15,Chicken Parts,1
M44762+P44762,"TJ Processors, LLC",Seattle,WA,15,Chicken Parts,NA
M44946+P44946,Romeo Foods Inc,Brooklyn,NY,60,Chicken Parts,1
M44976+P44976,Empacadora y Procesadora del Sur,Coamo,PR,85,Chicken Parts,2
M45056+P45056,L&G Food Inc.,El Monte,CA,05,Chicken Parts,1
M45080+P45080,Bas Foods Inc.,Hayward,CA,05,Chicken Parts,1
M45141+P45141,"Fieldsource Food Systems, Inc.",Brea,CA,05,Chicken Parts,1
M45179+P45179,Roger's Poultry,Los Angeles,CA,05,Chicken Parts,1
M45190+P45190,Garden Path Farms,Newburg,PA,60,Chicken Parts,NA
M451B+P451B,"Sterling Foods, Inc.",Opa Locka,FL,85,Chicken Parts,1
M45243+P45243,"Mama La's Kitchen, LLC",Houston,TX,40,Chicken Parts,1
M45288B+P45288B,FW Farms LLC.,Fort Worth,TX,40,Chicken Parts,1
M45317+P45317,Kitchen Cuts LLC.,Maywood,CA,05,Chicken Parts,NA
M45345+P45345,JRC Culinary Group Inc.,Irwindale,CA,05,Chicken Parts,3
M45407+P45407,Ameripack Foods LLC,Hughes Springs,TX,40,Chicken Parts,3
M45420+P45420,Dockside Seafood,San Juan,PR,85,Chicken Parts,NA
M45433+P45433,Halperns' Steak and Gary's Seafood,Orlando,FL,85,Chicken Parts,2
M45457+P45457,"J & Q Food, Inc.",Fort Worth,TX,40,Chicken Parts,3
M45479+P45479,"Rettland Farm, LLC",Gettysburg,PA,60,Chicken Parts,NA
M4548+P4548,Palmer Food Service,Rochester,NY,60,Chicken Parts,NA
M45484+P45484,Southern Hens Inc,Moselle,MS,90,Chicken Parts,1
M45525+P45525+V45525,Pine Creek Processing LLC,Ridgeland,WI,25,Chicken Parts,NA
M4553+P4553,"Alex & George Wholesale Meats, Inc.",Rochester,NY,60,Chicken Parts,NA
M45565+P45565,"Farm Fresh Foods, LLC",Guntersville,AL,90,Chicken Parts,1
M45594+P45594,"John's Meats, LLC",Brooklyn,NY,60,Chicken Parts,NA
M45597+P45597,Premier Custom Foods,Kansas City,KS,35,Chicken Parts,1
M45638+P45638,Trilogy Foods LLC,Gainesville,GA,85,Chicken Parts,1
M45652+P45652,Shah's Halal Food & Products Inc.,Jamaica,NY,60,Chicken Parts,1
M45687+P45687,Meat Palace Corp.,Brooklyn,NY,60,Chicken Parts,NA
M45690+P45690,Selim's Doner Kebap House L.P.,Dallas,TX,40,Chicken Parts,1
M45721+P45721,Perfecto Foods Inc.,Bell,CA,05,Chicken Parts,1
M45750+P45750,New York Meat and Fish Market,Bronx,NY,60,Chicken Parts,NA
M45754+P45754,"EL CHURRY, INC",SAN JUAN,PR,85,Chicken Parts,NA
M45769+P45769,Colorado Native Foods LLC,Denver,CO,15,Chicken Parts,1
M45798+P45798+V45798,"Del Monte Capitol Meat Company, LLC",Reno,NV,05,Chicken Parts,NA
M45848+P45848,Tanks Meats Inc.,Elmore,OH,50,Chicken Parts,NA
M45855+P45855,Interstate Foods Inc.,Compton,CA,05,Chicken Parts,3
M45884+P45884,Chef Creations LLC,Forest Park,GA,85,Chicken Parts,1
M45891+P45891,Kassian Farms LLC,Bronx,NY,60,Chicken Parts,1
M4592+P4592,Treasure Isle Foods,Mineola,NY,60,Chicken Parts,NA
M45989+P45989,Processadora La Esperanza Inc.,Barranquitas,PR,85,Chicken Parts,NA
M46089+P46089+V46089,Caribbean Crescent Inc.,Baltimore,MD,80,Chicken Parts,1
M46231+P46231,"Del Rey Meat & Seafood, Inc.",Anaheim,CA,05,Chicken Parts,1
M46248+P46248,"Slagel Family Meats, Inc.",Forrest,IL,50,Chicken Parts,NA
M4625+P4625,Ford Brothers Wholesale Meats Inc,West Valley,NY,60,Chicken Parts,NA
M46255+P46255,"Gemstone Ventures dba RCF, LLC or Gemstone Foods",Florence,AL,90,Chicken Parts,1
M46324A+P46324A+V46324A,Morning Star Poultry,Fort Plain,NY,60,Chicken Parts,1
M46411+P46411,Pacific Fresh Premium Meat,Tacoma,WA,15,Chicken Parts,NA
M46498+P46498,"Westminster Meat Packing, Inc.",Westminster,VT,60,Chicken Parts,NA
M46499+P46499,East West LLC,Landover,MD,80,Chicken Parts,NA
M46525+P46525,JD Meat Market,Bronx,NY,60,Chicken Parts,NA
M4653+P4653,A.A. Rubashkin & Sons,Brooklyn,NY,60,Chicken Parts,3
M4653A+P4653A+V4653A,"Agri Star Meat and Poultry, LLC",Postville,IA,25,Chicken Parts,1
M46689+P46689,Custom Cut Solutions,Albertville,AL,90,Chicken Parts,3
M46777+P46777,Bob's Processing Inc.,South Haven,MI,50,Chicken Parts,NA
M46828+P46828+V46828,Dean Street Processing,Bailey,NC,80,Chicken Parts,NA
M46835+P46835,"Megas Yeeros, LLC",Lyndhurst,NJ,80,Chicken Parts,2
M46910+P46910+V46910,B & R Meat Processing,Winslow,AR,35,Chicken Parts,NA
M4692+P4692,"Latina Boulevard Foods, LLC",Cheektowaga,NY,60,Chicken Parts,1
M46953+P46953,"Fresh Advantage / Demakes Enterprises, LLC",Danvers,MA,60,Chicken Parts,NA
M47039+P47039,QC Poultry,Montebello,CA,05,Chicken Parts,1
M47082+P47082,"Tawa Services, Inc.",Buena Park,CA,05,Chicken Parts,1
M47300+P47300,"VSM NY Distribution, LLC/Fairway Market Distribution Center",Bronx,NY,60,Chicken Parts,1
M47307+P47307,"Shahs Halal New Horizons Processing, Inc.",Amityville,NY,60,Chicken Parts,1
M47311+P47311,"CAPTAIN REDS, INC",Vernon,CA,05,Chicken Parts,NA
M47418+P47418,"Knights Butchering & Processing, LLC",Keysville,GA,85,Chicken Parts,NA
M47452+P47452,Glatt Organics LLC,Englewood,NJ,80,Chicken Parts,1
M47462+P47462,Colorado Food Enterprises Inc.,Denver,CO,15,Chicken Parts,NA
M47486+P47486,Ranchers Processing Inc.,Mendota,CA,05,Chicken Parts,3
M4750+P4750,"Giovanni Veal, Inc.",Woburn,MA,60,Chicken Parts,NA
M47579+P47579,Tyson Foods Inc.,Humboldt,TN,90,Chicken Parts,2
M47597+P47597,"Royalty Meats & Poultry, LLC",Rockaway,NJ,80,Chicken Parts,1
M47697+P47697,Kickin Chicken,Hardeeville,SC,85,Chicken Parts,1
M47793+P47793,Wycliff Douglas Provisions,Mesquite,TX,40,Chicken Parts,1
M47825+P47825,Mesa Foods,Rancho Cucamonga,CA,05,Chicken Parts,1
M47910+P47910,"Meat King, Inc.",Brooklyn,NY,60,Chicken Parts,1
M47921+P47921,Wright's Meat Processing INC.,Summerville,GA,85,Chicken Parts,NA
M47937+P47937,"US Meat Processing, LLC",Astoria,NY,60,Chicken Parts,1
M47988+P47988,The Meat Pointe LLC,Garfield,NJ,80,Chicken Parts,1
M4799+P4799,Mastroianni Food Distributor,Amsterdam,NY,60,Chicken Parts,NA
M4800+P4800+V4800,"Eddy Packing Co., Inc.",Yoakum,TX,40,Chicken Parts,1
M48109+P48109,Star Natural Meats LLC,Astoria,NY,60,Chicken Parts,1
M48119+P48119,Custom Craft Poultry,Batesville,AR,35,Chicken Parts,2
M48141+P48141,"Halperns' Steak and Seafood Company, LLC",Arlington,TX,40,Chicken Parts,1
M48156+P48156,Baily Meat LLC,Las Vegas,NV,05,Chicken Parts,NA
M48159+P48159+V48159,Regional Food Bank of Oklahoma,Oklahoma City,OK,40,Chicken Parts,NA
M48209+P48209,"Wholesum Foods, LLC",South El Monte,CA,05,Chicken Parts,3
M48235+P48235+V48235,"Crescent Specialty Foods, LLC",Farmingdale,NY,60,Chicken Parts,2
M4828+P4828,A.I. Foods Corporation,Los Angeles,CA,05,Chicken Parts,NA
M48281+P48281+V48281,"White Lake Foods, LLC",Ferndale,NY,60,Chicken Parts,1
M48286+P48286,Yassine Halal Food Corp,Astoria,NY,60,Chicken Parts,2
M4838+P4838,The Butcher Block Meats,San Diego,CA,05,Chicken Parts,NA
M4847+P4847,Win Fat Food LLC,Monterey Park,CA,05,Chicken Parts,1
M4871+P4871,Golden Eagle Services,South Gate,CA,05,Chicken Parts,1
M4873+P4873,"Commercial Meat Company, Inc.",Pico Rivera,CA,05,Chicken Parts,1
M4876+P4876,Luck Nabeshima,Montebello,CA,05,Chicken Parts,NA
M4894+P4894+V4894,Apple Valley Farms Inc.,Fresno,CA,05,Chicken Parts,2
M4934+P4934,T & J Sausage Kitchen,Anaheim,CA,05,Chicken Parts,1
M4985+P4985,"Modesto Food Distributors, Inc.",Hayward,CA,05,Chicken Parts,1
M4989+P4989+V4989,"K&M Meat Packing Co., Inc.",Vernon,CA,05,Chicken Parts,NA
M5097+P5097,"Bayside Foods, Inc.",PROVIDENCE,RI,60,Chicken Parts,2
M51212+P51212+V51212,Crossing Storage Services Inc.,Vernon,CA,05,Chicken Parts,NA
M51255+P51255,Natural State Processing,Clinton,AR,35,Chicken Parts,1
M51354+P51354,Select Cut Meat Processing,Chicago,IL,50,Chicken Parts,2
M5141+P5141,King Solomon Foods inc.,Brooklyn,NY,60,Chicken Parts,NA
M5142+P5142,Washington Avenue Poultry,Brooklyn,NY,60,Chicken Parts,1
M5200+P5200+V5200,"Prime Food Distributor, Inc.",Port Washington,NY,60,Chicken Parts,NA
M5221+P5221,"Home Food Services of PA, Inc.",Bristol,PA,60,Chicken Parts,NA
M5275+P5275,Lupo's Quality Deli,Endicott,NY,60,Chicken Parts,1
M5294+P847,Green Tree Foodservice,Passaic,NJ,80,Chicken Parts,NA
M5369+P5369,"Numeat Packing, Inc.",San Juan,PR,85,Chicken Parts,NA
M53881+P53881,"Mucca, Inc.",Gardena,CA,05,Chicken Parts,NA
M5477+P5477,"Unity Beef Sausage Co., Inc.",Newark,NJ,80,Chicken Parts,NA
M5489+P5489,"New Jersey Veal Co., Inc.",Garfield,NJ,80,Chicken Parts,1
M549+P549,"Tyson Foods, Inc.",Springdale,AR,35,Chicken Parts,NA
M550+P18178+V18178,Sterling Pacific Meat Co.,Commerce,CA,05,Chicken Parts,1
M5553+P5553,"Del Gould Meats, Inc.",Lincoln,NE,15,Chicken Parts,NA
M56+P56,Pilgrim's Pride Corporation,TIMBERVILLE,VA,80,Chicken Parts,1
M5819+P5819+V5819,Gourmet Ranch,Houston,TX,40,Chicken Parts,2
M5837+P5837,"Simmons Prepared Foods, Inc.",Van Buren,AR,35,Chicken Parts,2
M5842+P5842+V5842,"Tyson Foods, Inc.",Springdale,AR,35,Chicken Parts,1
M5891+P5891,E&H Distributing LLC,LAS VEGAS,NV,05,Chicken Parts,NA
M5929+P5929,Wayne Meat Corporation,Wayne,NJ,80,Chicken Parts,NA
M6010T+P6010T+V6010T,"National Steak Processors (2024), LLC.",Owasso,OK,40,Chicken Parts,1
M6028A+P4114+V6028A,West Coast Prime Meats LLC,Brea,CA,05,Chicken Parts,1
M6052+P6052,CREATIVE FOOD PROCESSING,SANTA CLARA,CA,05,Chicken Parts,NA
M6070+P6070,Los Angeles Poultry,Los Angeles,CA,05,Chicken Parts,1
M6075+P6075+V6075,"E.C. Wilson Co., Inc.",Brier,WA,15,Chicken Parts,2
M6090+P6090,Rogers Poultry,Los Angeles,CA,05,Chicken Parts,1
M6119+P6119,C.R. Meats,Oakland,CA,05,Chicken Parts,NA
M6124+P6124+V6124,"Compass Foods, Inc.",Modesto,CA,05,Chicken Parts,2
M6137+P6137,"Foster Poultry Farms, LLC",Livingston,CA,05,Chicken Parts,2
M6153+P6153,Seaport Meat Co.,Spring Valley,CA,05,Chicken Parts,NA
M6239+P6239+V6239,Shamrock Foods Company,Phoenix,AZ,05,Chicken Parts,1
M6267+P6267,Interbay Food Company,Woodinville,WA,15,Chicken Parts,1
M6313+P6313,"Savenor's Supply Company, Inc.",Cambridge,MA,60,Chicken Parts,NA
M6366+P6366,"Mid-Town Favorite Beef, LLC",Fitchburg,MA,60,Chicken Parts,NA
M6396+P6396,"Dom's Sausage Co., Inc.",Malden,MA,60,Chicken Parts,NA
M6426+P6426+V6426,"Tcm, Inc.,",Olympia,WA,15,Chicken Parts,NA
M6444+P6444+V6444,"Angus Meats, Inc.",Spokane,WA,15,Chicken Parts,NA
M6574+P6574,"GWB, LLC",Fort Lauderdale,FL,85,Chicken Parts,1
M6640+P6640,"Kabobs Aquisition, LLC",Lake City,GA,85,Chicken Parts,NA
M6645+P6645,Carolina Fresh Foods,Florence,SC,85,Chicken Parts,1
M667+P667,Mountaire Farms Inc.,Selbyville,DE,80,Chicken Parts,1
M6765+P6765,Wichita Packing Company,Chicago,IL,50,Chicken Parts,NA
M6916+P6916+V6916,Amity Packing Co. Inc.,Chicago,IL,50,Chicken Parts,1
M6934+P6934,Stap Inc.,Wheeling,IL,50,Chicken Parts,2
M6987+P6987,Weinstein Wholesale Meats Inc,Forest Park,IL,50,Chicken Parts,NA
M7091A+P7091A,Pilgrim's Pride Corporation,Mount Pleasant,TX,40,Chicken Parts,2
M7100+P7100+V7100,"Tyson Foods, Inc.",Nashville,AR,35,Chicken Parts,1
M7147+P7147+V7147,4G Meat Processing LLC,Kansas City,MO,35,Chicken Parts,1
M7231+P7231,HEB Meat Plant,San Antonio,TX,40,Chicken Parts,2
M7271+P7271,"C & L Foods, Inc.",Dallas,TX,40,Chicken Parts,1
M737+P737,House of Raeford - Wallace Div,Teachey,NC,80,Chicken Parts,1
M7424+P184,Pilgrim's Pride Corporation,Elberton,GA,85,Chicken Parts,1
M7428+P7428+V7428,"Joyce Foods, Inc.",Winston Salem,NC,80,Chicken Parts,2
M7460+P7460,Waltkoch LTD,Gainesville,GA,85,Chicken Parts,NA
M7470+P7470,Mountaire Farms Inc. - NC Division,Lumber Bridge,NC,80,Chicken Parts,1
M7471+P7471,"State Street Poultry & Provisions, LLC",Baltimore,MD,80,Chicken Parts,2
M7478+P1,"Tyson Foods, Inc.",Wilkesboro,NC,80,Chicken Parts,1
M7559+P134+V7559,David Elliot Poultry Farm Inc.,Scranton,PA,60,Chicken Parts,3
M7567+P7567,Wegmans Food Markets,Rochester,NY,60,Chicken Parts,2
M7697+P7697+V7697,"Castle Rock Meats, Inc.",Denver,CO,15,Chicken Parts,NA
M7817+P7817,US Foods Inc,Blasdell,NY,60,Chicken Parts,NA
M7831+P7831+V7831,"Milmar Food Group II, LLC",Goshen,NY,60,Chicken Parts,NA
M7900+P7900,"Prestige Farms, Inc.",Charlotte,NC,80,Chicken Parts,1
M7964+P7964,Columbia Meats. Inc.,West Columbia,SC,85,Chicken Parts,NA
M8030+P8030+V8030,Jim David Farm Fresh Meats,Uniontown,KY,90,Chicken Parts,NA
M810+P810,Pilgrim's Pride Corporation,Moorefield,WV,80,Chicken Parts,1
M8118+P8118+V8118,"Wasatch Meats, Inc.",Salt Lake City,UT,15,Chicken Parts,NA
M8139+P8139,Red Bird Farms Dist. Co.,Englewood,CO,15,Chicken Parts,1
M8274+P8274,"Pacific Seafood - Sacramento, LLC",Sacramento,CA,05,Chicken Parts,NA
M829+P829,"Juniper Creek Farms, LLC",Poplarville,MS,90,Chicken Parts,NA
M8328+P8328,Halperns' Steak and Seafood,Fort Lauderdale,FL,85,Chicken Parts,1
M8364+P8364,Farmers Produce,Chambersburg,PA,60,Chicken Parts,NA
M8389+P8389+V8389,Pasqualichio Bros. Inc.,Jessup,PA,60,Chicken Parts,1
M8403+P8403,Preston St. Poultry,Louisville,KY,90,Chicken Parts,NA
M8406+P8406+V8406,Mennella'a Poultry,Paterson,NJ,80,Chicken Parts,1
M8466+P8466,Catelli Brothers,Sutton,MA,60,Chicken Parts,3
M8777+P8777,London Manhattan Corp.,Bronx,NY,60,Chicken Parts,NA
M8839+P8839,"Warwick Poultry Co., Inc.",Providence,RI,60,Chicken Parts,NA
M8855+P8855,Wilson Beef Farms LLC,Canaseraga,NY,60,Chicken Parts,NA
M8876+P8876,"NAT KAGAN MEAT & POULTRY, INC.",WOODRIDGE,NY,60,Chicken Parts,NA
M8899+P8899,George L. Wells Meat Company,Philadelphia,PA,60,Chicken Parts,NA
M8951+P8951+V8951,Quality Meats and Culinary Specialties,Detroit,MI,50,Chicken Parts,NA
M8983+P8983,"Sysco Western Minnesota, Inc.",St Cloud,MN,25,Chicken Parts,NA
M9120+P9120,Homestead Knoxville LLC,Knoxville,TN,90,Chicken Parts,1
M9141+P9141,Koch Foods of Mississippi,Forest,MS,90,Chicken Parts,2
M9211+P9211,"T & T Foods, Inc.",Vernon,CA,05,Chicken Parts,1
